frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
386,6.4398,2178.000,1710.500,54.000,29.000,1,539.461
387,6.4565,2187.000,1710.500,54.000,29.000,1,539.461
388,6.4731,2196.000,1711.500,54.000,29.000,1,542.780
389,6.4898,2204.000,1711.500,54.000,29.000,1,479.520
390,6.5065,2213.000,1711.500,54.000,29.000,1,539.461
391,6.5232,2221.000,1711.500,54.000,29.000,1,479.520
392,6.5399,2230.000,1711.500,54.000,29.000,1,539.461
393,6.5566,2238.000,1711.500,54.000,29.000,1,479.520
394,6.5732,2247.000,1712.500,54.000,29.000,1,542.780
395,6.5899,2255.000,1711.500,54.000,29.000,1,483.252
396,6.6066,2263.000,1711.500,54.000,29.000,1,479.520
397,6.6233,2272.000,1711.500,54.000,29.000,1,539.461
398,6.6400,2280.000,1711.500,54.000,29.000,1,479.520
399,6.6566,2289.000,1712.500,54.000,29.000,1,542.780
400,6.6733,2297.000,1712.500,54.000,29.000,1,479.520
401,6.6900,2305.000,1712.500,54.000,29.000,1,479.520
402,6.7067,2314.000,1712.500,54.000,29.000,1,539.461
403,6.7234,2323.000,1713.500,54.000,29.000,1,542.780
404,6.7401,2331.000,1712.500,54.000,29.000,1,483.252
405,6.7568,2339.000,1713.500,54.000,29.000,1,483.252
406,6.7734,2348.000,1713.500,54.000,29.000,1,539.461
407,6.7901,2356.000,1713.500,54.000,29.000,1,479.520
408,6.8068,2364.000,1713.500,54.000,29.000,1,479.520
409,6.8235,2373.000,1713.500,54.000,29.000,1,539.461
410,6.8402,2381.000,1713.500,54.000,29.000,1,479.520
411,6.8569,2390.000,1713.500,54.000,29.000,1,539.461
412,6.8735,2398.000,1713.500,54.000,29.000,1,479.520
413,6.8902,2406.000,1714.500,54.000,29.000,1,483.252
414,6.9069,2414.000,1714.500,54.000,29.000,1,479.520
415,6.9236,2422.000,1714.500,54.000,29.000,1,479.520
416,6.9403,2431.000,1714.500,54.000,29.000,1,539.461
417,6.9569,2439.000,1714.500,54.000,29.000,1,479.520
418,6.9736,2447.000,1714.500,54.000,29.000,1,479.520
419,6.9903,2456.000,1714.500,54.000,29.000,1,539.461
420,7.0070,2464.000,1715.500,54.000,29.000,1,483.252
421,7.0237,2471.000,1715.500,54.000,29.000,1,419.580
422,7.0404,2480.000,1715.500,54.000,29.000,1,539.461
423,7.0571,2488.000,1715.500,54.000,29.000,1,479.520
424,7.0737,2496.000,1716.500,54.000,29.000,1,483.252
425,7.0904,2503.000,1716.500,54.000,29.000,1,419.580
426,7.1071,2512.000,1716.500,54.000,29.000,1,539.461
427,7.1238,2522.000,1717.500,54.000,29.000,1,602.390
428,7.1405,2529.000,1716.500,54.000,29.000,1,423.840
429,7.1572,2537.000,1716.500,54.000,29.000,1,479.520
430,7.1738,2545.000,1717.500,54.000,29.000,1,483.252
431,7.1905,2554.000,1717.500,54.000,29.000,1,539.461
432,7.2072,2562.000,1716.500,54.000,29.000,1,483.252
433,7.2239,2570.000,1716.500,54.000,29.000,1,479.520
434,7.2406,2577.000,1717.500,54.000,29.000,1,423.840
435,7.2572,2585.000,1717.500,54.000,29.000,1,479.520
436,7.2739,2594.000,1717.500,54.000,29.000,1,539.461
437,7.2906,2602.000,1717.500,54.000,29.000,1,479.520
438,7.3073,2610.000,1717.500,54.000,29.000,1,479.520
439,7.3240,2617.000,1717.500,54.000,29.000,1,419.580
440,7.3407,2625.000,1718.500,54.000,29.000,1,483.252
441,7.3574,2633.000,1718.500,54.000,29.000,1,479.520
442,7.3740,2641.000,1717.500,54.000,29.000,1,483.252
443,7.3907,2649.000,1717.500,54.000,29.000,1,479.520
444,7.4074,2657.000,1718.500,54.000,29.000,1,483.252
445,7.4241,2665.000,1718.500,54.000,29.000,1,479.520
446,7.4408,2672.000,1718.500,54.000,29.000,1,419.580
447,7.4574,2681.000,1718.500,54.000,29.000,1,539.461
448,7.4741,2689.000,1718.500,54.000,29.000,1,479.520
449,7.4908,2696.000,1718.500,54.000,29.000,1,419.580
450,7.5075,2704.000,1719.500,54.000,29.000,1,483.252
451,7.5242,2711.000,1718.500,54.000,29.000,1,423.840
